iter	Passed	Remaining
1286	65985	446720
1287	66034	446652
1288	66079	446560
1289	66125	446472
1290	66170	446382
1291	66217	446303
1292	66264	446220
1293	66313	446153
1294	66359	446067
1295	66402	445964
1296	66449	445879
1297	66495	445795
1298	66540	445703
1299	66587	445622
1300	66631	445525
1301	66677	445440
1302	66722	445346
1303	66770	445271
1304	66817	445192
1305	66972	445832
1306	67029	445823
1307	67077	445744
1308	67126	445677
1309	67175	445617
1310	67221	445529
1311	67271	445466
1312	67314	445364
1313	67361	445282
1314	67410	445218
1315	67462	445167
1316	67511	445106
1317	67562	445050
1318	67613	444996
1319	67663	444941
1320	67712	444870
1321	67761	444805
1322	67810	444741
1323	67858	444667
1324	67912	444633
1325	67958	444547
1326	68046	444740
1327	68107	444749
1328	68160	444710
1329	68211	444654
1330	68259	444584
1331	68308	444516
1332	68358	444459
1333	68408	444399
1334	68457	444333
1335	68504	444250
1336	68552	444182
1337	68606	444146
1338	68655	444082
1339	68707	444035
1340	68759	443991
1341	68813	443953
1342	68871	443947
1343	68941	444016
1344	68997	443991
1345	69071	444088
1346	69138	444141
1347	69186	444067
1348	69236	444008
1349	69283	443925
1350	69330	443848
1351	69380	443789
1352	69423	443685
1353	69468	443595
1354	69513	443499
1355	69559	443413
1356	69604	443321
1357	69648	443224
1358	69695	443149
1359	69742	443069
1360	69789	442989
1361	69840	442938
1362	69890	442880
1363	69936	442792
1364	69983	442717
1365	70030	442638
1366	70074	442542
1367	70170	442771
1368	70215	442679
1369	70259	442584
1370	70308	442519
1371	70352	442419
1372	70399	442340
1373	70446	442263
1374	70494	442193
1375	70542	442119
1376	70589	442041
1377	70637	441971
1378	70682	441878
1379	70731	441817
1380	70781	441757
1381	70829	441686
1382	70876	441608
1383	70923	441531
1384	70969	441446
1385	71015	441361
1386	71062	441284
1387	71107	441196
1388	71171	441224
1389	71233	441235
1390	71279	441154
1391	71323	441060
1392	71370	440983
1393	71419	440914
1394	71465	440833
1395	71515	440772
1396	71562	440695
1397	71609	440620
1398	71658	440553
1399	71706	440481
1400	71757	440428
1401	71808	440375
1402	71856	440308
1403	71902	440220
1404	71947	440134
1405	71996	440069
1406	72043	439991
1407	72093	439933
1408	72142	439872
1409	72213	439940
1410	72270	439921
1411	72315	439836
1412	72363	439763
1413	72410	439683
1414	72465	439657
1415	72514	439593
1416	72564	439533
1417	72618	439499
1418	72671	439461
1419	72723	439415
1420	72780	439397
1421	72831	439345
1422	72882	439289
1423	72934	439246
1424	72987	439202
1425	73036	439142
1426	73087	439088
1427	73135	439017
1428	73183	438946
1429	73255	439020
1430	73303	438952
1431	73358	438919
1432	73412	438887
1433	73462	438828
1434	73513	438774
1435	73565	438727
1436	73620	438699
1437	73670	438640
1438	73718	438571
1439	73768	438510
1440	73815	438436
1441	73860	438345
1442	73911	438296
1443	73962	438240
1444	74013	438189
1445	74065	438145
1446	74118	438101
1447	74165	438024
1448	74215	437970
1449	74296	438093
1450	74345	438028
1451	74390	437940
1452	74440	437883
1453	74488	437814
1454	74536	437744
1455	74580	437646
1456	74626	437566
1457	74676	437505
1458	74727	437455
1459	74774	437377
1460	74824	437320
1461	74873	437256
1462	74949	437349
1463	75006	437330
1464	75049	437235
1465	75098	437172
1466	75145	437093
1467	75189	437001
1468	75236	436927
1469	75382	437424
1470	75470	437584
1471	75515	437495
1472	75561	437412
1473	75610	437351
1474	75660	437289
1475	75711	437238
1476	75758	437164
1477	75810	437115
1478	75860	437056
1479	75910	436997
1480	75960	436939
1481	76007	436864
1482	76053	436781
1483	76101	436709
1484	76151	436653
1485	76196	436567
1486	76242	436485
1487	76291	436422
1488	76336	436335
1489	76380	436241
1490	76441	436244
1491	76523	436368
1492	76569	436287
1493	76626	436268
1494	76676	436208
1495	76729	436169
1496	76778	436101
1497	76829	436051
1498	76877	435980
1499	76924	435906
1500	76975	435851
1501	77025	435793
1502	77074	435731
1503	77122	435658
1504	77171	435594
1505	77220	435531
1506	77270	435472
1507	77321	435420
1508	77369	435350
1509	77416	435272
1510	77463	435203
1511	77551	435353
1512	77600	435290
1513	77660	435288
1514	77713	435248
1515	77762	435184
1516	77814	435137
1517	77863	435073
1518	77910	434995
1519	77954	434903
1520	78003	434837
1521	78051	434768
1522	78107	434745
1523	78159	434698
1524	78212	434653
1525	78261	434590
1526	78310	434529
1527	78360	434469
1528	78405	434383
1529	78450	434295
1530	78496	434219
1531	78564	434255
1532	78642	434354
1533	78690	434285
1534	78740	434226
1535	78789	434161
1536	78835	434081
1537	78881	434002
1538	78927	433922
1539	78973	433841
1540	79020	433764
1541	79067	433689
1542	79112	433603
1543	79156	433513
1544	79199	433416
1545	79246	433342
1546	79292	433264
1547	79337	433177
1548	79381	433088
1549	79425	432998
1550	79476	432942
1551	79522	432865
1552	79575	432821
1553	79667	432990
1554	79712	432910
1555	79757	432821
1556	79804	432751
1557	79852	432676
1558	79898	432597
1559	79947	432535
1560	79992	432449
1561	80038	432372
1562	80084	432293
1563	80130	432213
1564	80177	432139
1565	80224	432067
1566	80271	431989
1567	80316	431903
1568	80363	431833
1569	80409	431755
1570	80455	431672
1571	80504	431612
1572	80554	431555
1573	80602	431483
1574	80646	431394
1575	80743	431587
1576	80792	431522
1577	80839	431450
1578	80884	431367
1579	80931	431290
1580	80972	431184
1581	81015	431094
1582	81063	431025
1583	81112	430961
1584	81157	430878
1585	81203	430798
1586	81251	430728
1587	81298	430655
1588	81346	430586
1589	81391	430505
1590	81436	430423
1591	81481	430336
1592	81527	430258
1593	81578	430207
1594	81635	430187
1595	81686	430132
1596	81758	430191
1597	81841	430306
1598	81890	430243
1599	81938	430177
1600	81987	430116
1601	82033	430037
1602	82077	429945
1603	82121	429857
1604	82167	429780
1605	82215	429712
1606	82264	429650
1607	82309	429565
1608	82353	429477
1609	82399	429398
1610	82445	429319
1611	82495	429265
1612	82554	429250
1613	82609	429222
1614	82658	429161
1615	82710	429113
1616	82765	429078
1617	82925	429591
1618	82981	429564
1619	83030	429502
1620	83087	429483
1621	83140	429440
1622	83190	429383
1623	83242	429334
1624	83294	429287
1625	83341	429215
1626	83387	429136
1627	83442	429104
1628	83491	429041
1629	83540	428976
1630	83589	428916
1631	83637	428849
1632	83688	428796
1633	83733	428711
1634	83781	428641
1635	83832	428588
1636	83882	428535
1637	83963	428634
1638	84036	428695
1639	84091	428660
1640	84140	428596
1641	84191	428544
1642	84248	428525
1643	84298	428466
1644	84344	428386
1645	84393	428323
1646	84451	428308
1647	84503	428259
1648	84565	428265
1649	84617	428214
1650	84667	428158
1651	84722	428125
1652	84768	428049
1653	84822	428008
1654	84877	427978
1655	84924	427903
1656	84975	427853
1657	85074	428041
1658	85139	428058
1659	85218	428146
1660	85285	428174
1661	85336	428119
1662	85388	428070
